participant,emote,rateVALENCE_neg,rateVALENCE_neutral,rateVALENCE_pos,rateAROUSAL_neg,rateAROUSAL_neutral,rateAROUSAL_pos
1,low,-1.2070657493854209,0.27742924211066,1.084441176683056,-2.1800396489486737,-1.3409931921000284,-0.2942938587637133
2,low,-2.3456977026293493,0.42912468881105,0.506055892157574,-0.4658975404061103,1.449496265287132,-1.068642723674581
3,low,-0.5747399601346488,-0.546631855784187,-0.564451999093283,-0.855364633737507,-0.2806230019574539,-0.9943400762956649
4,low,-0.8900378290441038,-0.477192699753547,-0.998386444859704,-0.968514317872049,-1.107318192641766,-1.25198588563894
5,low,-0.77625389463799,0.06445881727626934,0.9594940589707713,-0.5238281189873557,-0.49684995726669995,-1.8060312568019488
6,low,-0.1102854943907743,-0.5110095058066422,-0.9111954166298112,-0.5820759246893328,-1.1088896244267814,-1.0149620094920093
7,high,-0.8371716802689395,2.415835178489341,0.1340882201520312,-0.16230952355681924,0.5630558189945174,1.6478174728150614
8,high,-0.4906858966909428,-0.44054787235322707,0.45958944100585364,-0.7733534239436951,1.6059096288572963,-1.15780854769441
9,high,-0.6937202469374755,-1.448204910386472,0.5747557209007284,0.6565884643328073,2.5489910707178565,-0.03476038980383759
10,high,-1.023655722963879,-0.015138300364181678,-0.9359486011683936,-0.6696335796619575,-0.007604755710974629,1.7770844481434263
11,high,1.1022975462002629,-0.4755930788690574,-0.7094400375125062,-1.1386077367509086,1.3678271794232626,1.3295647907823602
12,high,-0.5012580605947614,-1.629093469078704,-1.1676192620941863,0.33647279720381734,0.006892838441957958,-0.4554687381614281
